char_name,episode,line
Narrator,Episode 1: The Old Grist Mill,"Somewhere, lost in the clouded annals of history, lies a place that few have seen—a mysterious place, called the Unknown—where long forgotten stories are revealed to those who travel through the wood..."
Greg,Episode 1: The Old Grist Mill,"... Antelope, Guggenheim, Albert, Salami, Giggly, Jumpy, Tom, Thomas, Tambourine, Leg-Face McCullen, Artichoke, Penguin, Pete, Steve... But I think the very worst name for this frog is—"
Wirt,Episode 1: The Old Grist Mill,"Wait, wait a second. Uh...Greg?"
Wirt,Episode 1: The Old Grist Mill,Where—are we?
Greg,Episode 1: The Old Grist Mill,In the woods?
Wirt,Episode 1: The Old Grist Mill,I mean... what are we doing out here?
Greg,Episode 1: The Old Grist Mill,We're walking home!
Wirt,Episode 1: The Old Grist Mill,"Greg! I, I think we're lost! We, w-we should've left a trail or something."
Greg,Episode 1: The Old Grist Mill,I can leave a trail of candy from my pants!!
Wirt,Episode 1: The Old Grist Mill,"No. though I am lost, my wounded heart resides back home—in pieces—strewn about the graveyard of my lost love. For only—"
Wirt,Episode 1: The Old Grist Mill,Do you hear that?
Greg,Episode 1: The Old Grist Mill,Yeah.
Wirt,Episode 1: The Old Grist Mill,Do you think it's some kind of deranged lunatic with an axe waiting out there in the darkness for innocent victims?  Greg!
Wirt,Episode 1: The Old Grist Mill,"Greg, you're going to get us into trouble again!"
Greg,Episode 1: The Old Grist Mill,We should ask him for help!
Wirt,Episode 1: The Old Grist Mill,"No, we should not ask him for help."
Greg,Episode 1: The Old Grist Mill,But—!
Wirt,Episode 1: The Old Grist Mill,Shh!
Greg,Episode 1: The Old Grist Mill,You shh!
Wirt,Episode 1: The Old Grist Mill,You shh!
Greg,Episode 1: The Old Grist Mill,Shhh—!!
Wirt,Episode 1: The Old Grist Mill,Shoot. Y-You think we should've asked him for help?
Beatrice,Episode 1: The Old Grist Mill,"Hey. Maybe I can help you. I mean, you guys are lost, right?"
Wirt,Episode 1: The Old Grist Mill,"What, in the world is going on?!"
